n_estimators,tree_depth,min_samples_split,max_features,Accuracy
1,16,2,10,0.81
1,16,2,12,0.835897
1,16,2,16,0.838205
1,16,5,2,0.455641
1,16,5,4,0.655897
1,16,5,8,0.762821
1,16,5,10,0.803077
1,16,5,12,0.822051
1,16,5,16,0.842564
1,16,10,2,0.390513
1,16,10,4,0.656667
1,16,10,8,0.772564
1,16,10,10,0.811026
1,16,10,12,0.804359
1,16,10,16,0.842308
1,16,15,2,0.427949
1,16,15,4,0.610513
1,16,15,8,0.77359
1,16,15,10,0.801795
1,16,15,12,0.812308
1,16,15,16,0.834359
1,16,20,2,0.518205
1,16,20,4,0.623077
1,16,20,8,0.759231
1,16,20,10,0.793333
1,16,20,12,0.809231
1,16,20,16,0.832564
1,16,25,2,0.443077
1,16,25,4,0.641026
1,16,25,8,0.764359
1,16,25,10,0.774103
1,16,25,12,0.818718
1,16,25,16,0.827179
1,16,30,2,0.405641
1,16,30,4,0.648462
1,16,30,8,0.761282
1,16,30,10,0.783077
1,16,30,12,0.798462
1,16,30,16,0.832051
1,20,2,2,0.426667
1,20,2,4,0.601026
1,20,2,8,0.766667
1,20,2,10,0.797692
1,20,2,12,0.82
1,20,2,16,0.841538
1,20,5,2,0.477436
1,20,5,4,0.602821
1,20,5,8,0.778462
1,20,5,10,0.79359
1,20,5,12,0.830769
1,20,5,16,0.84
1,20,10,2,0.495385
1,20,10,4,0.609744
1,20,10,8,0.778718
1,20,10,10,0.804872
1,20,10,12,0.807179
1,20,10,16,0.842821
1,20,15,2,0.449231
1,20,15,4,0.644872
1,20,15,8,0.765385
1,20,15,10,0.791282
1,20,15,12,0.805128
1,20,15,16,0.83359
1,20,20,2,0.448205
1,20,20,4,0.666667
1,20,20,8,0.759487
1,20,20,10,0.803846
1,20,20,12,0.815897
1,20,20,16,0.829744
1,20,25,2,0.440256
1,20,25,4,0.588974
1,20,25,8,0.762564
1,20,25,10,0.800256
1,20,25,12,0.818205
1,20,25,16,0.824103
1,20,30,2,0.448718
1,20,30,4,0.634872
1,20,30,8,0.760513
1,20,30,10,0.787436
1,20,30,12,0.800769
1,20,30,16,0.828974
5,4,2,2,0.566154
5,4,2,4,0.669744
5,4,2,8,0.735385
5,4,2,10,0.713846
5,4,2,12,0.714872
5,4,2,16,0.667436
5,4,5,2,0.546923
5,4,5,4,0.677692
5,4,5,8,0.714872
5,4,5,10,0.725641
5,4,5,12,0.712821
5,4,5,16,0.677436
5,4,10,2,0.524872
5,4,10,4,0.671282
5,4,10,8,0.708974
5,4,10,10,0.711026
5,4,10,12,0.699487
5,4,10,16,0.678718
5,4,15,2,0.546923
5,4,15,4,0.681282
5,4,15,8,0.711795
5,4,15,10,0.727179
5,4,15,12,0.708718
5,4,15,16,0.666923
5,4,20,2,0.556923
5,4,20,4,0.666667
5,4,20,8,0.713846
5,4,20,10,0.723846
5,4,20,12,0.717949
5,4,20,16,0.677436
5,4,25,2,0.598205
5,4,25,4,0.684615
5,4,25,8,0.719487
5,4,25,10,0.725128
5,4,25,12,0.712821
5,4,25,16,0.66641
5,4,30,2,0.568462
5,4,30,4,0.661795
5,4,30,8,0.725641
5,4,30,10,0.716154
5,4,30,12,0.714359
5,4,30,16,0.672308
5,8,2,2,0.579231
5,8,2,4,0.778718
5,8,2,8,0.839744
5,8,2,10,0.849744
5,8,2,12,0.853077
5,8,2,16,0.841282
5,8,5,2,0.594615
5,8,5,4,0.757436
5,8,5,8,0.827179
5,8,5,10,0.847949
5,8,5,12,0.851026
5,8,5,16,0.844103
5,8,10,2,0.587949
5,8,10,4,0.76
5,8,10,8,0.844103
5,8,10,10,0.849231
5,8,10,12,0.849744
5,8,10,16,0.851795
5,8,15,2,0.599487
5,8,15,4,0.75359
5,8,15,8,0.827949
5,8,15,10,0.842051
5,8,15,12,0.862564
5,8,15,16,0.857436
5,8,20,2,0.610256
5,8,20,4,0.760513
5,8,20,8,0.831795
5,8,20,10,0.842821
5,8,20,12,0.842564
5,8,20,16,0.860513
5,8,25,2,0.610256
5,8,25,4,0.760769
5,8,25,8,0.837436
5,8,25,10,0.845641
5,8,25,12,0.852821
5,8,25,16,0.842308
5,8,30,2,0.569744
5,8,30,4,0.738974
5,8,30,8,0.833333
5,8,30,10,0.848974
5,8,30,12,0.853333
5,8,30,16,0.842821
5,12,2,2,0.595897
5,12,2,4,0.77
5,12,2,8,0.864872
5,12,2,10,0.871026
5,12,2,12,0.876154
5,12,2,16,0.872051
5,12,5,2,0.58641
5,12,5,4,0.765128
5,12,5,8,0.854615
5,12,5,10,0.866154
5,12,5,12,0.872308
5,12,5,16,0.88
5,12,10,2,0.610769
5,12,10,4,0.764615
5,12,10,8,0.855385
5,12,10,10,0.874872
5,12,10,12,0.875641
5,12,10,16,0.870769
5,12,15,2,0.587692
5,12,15,4,0.772821
5,12,15,8,0.858462
5,12,15,10,0.868974
5,12,15,12,0.871282
5,12,15,16,0.87
5,12,20,2,0.614615
5,12,20,4,0.783846
5,12,20,8,0.855641
5,12,20,10,0.861026
5,12,20,12,0.872051
5,12,20,16,0.871795
5,12,25,2,0.605641
5,12,25,4,0.785128
5,12,25,8,0.84359
5,12,25,10,0.862051
5,12,25,12,0.859487
5,12,25,16,0.866923
5,12,30,2,0.572821
5,12,30,4,0.756923
5,12,30,8,0.851282
5,12,30,10,0.855641
5,12,30,12,0.871026
5,12,30,16,0.862821
5,16,2,2,0.584359
5,16,2,4,0.778974
5,16,2,8,0.863846
5,16,2,10,0.874103
