n_estimators,tree_depth,min_samples_split,max_features,Accuracy
5,4,2,10,0.715897
5,4,2,12,0.702564
5,4,2,16,0.640256
5,4,5,2,0.556923
5,4,5,4,0.661282
5,4,5,8,0.701026
5,4,5,10,0.705128
5,4,5,12,0.691026
5,4,5,16,0.637179
5,4,10,2,0.570256
5,4,10,4,0.667179
5,4,10,8,0.713333
5,4,10,10,0.708718
5,4,10,12,0.696154
5,4,10,16,0.647949
5,4,15,2,0.57
5,4,15,4,0.661795
5,4,15,8,0.721795
5,4,15,10,0.717436
5,4,15,12,0.701282
5,4,15,16,0.67359
5,4,20,2,0.545641
5,4,20,4,0.675128
5,4,20,8,0.690513
5,4,20,10,0.696923
5,4,20,12,0.710256
5,4,20,16,0.637179
5,4,25,2,0.57641
5,4,25,4,0.662564
5,4,25,8,0.716923
5,4,25,10,0.709744
5,4,25,12,0.704103
5,4,25,16,0.654103
5,4,30,2,0.534615
5,4,30,4,0.667179
5,4,30,8,0.715641
5,4,30,10,0.710769
5,4,30,12,0.701026
5,4,30,16,0.655385
5,8,2,2,0.615128
5,8,2,4,0.804103
5,8,2,8,0.883333
5,8,2,10,0.889744
5,8,2,12,0.897949
5,8,2,16,0.882821
5,8,5,2,0.58
5,8,5,4,0.769487
5,8,5,8,0.882821
5,8,5,10,0.897692
5,8,5,12,0.892564
5,8,5,16,0.891026
5,8,10,2,0.588462
5,8,10,4,0.801026
5,8,10,8,0.88
5,8,10,10,0.899231
5,8,10,12,0.898718
5,8,10,16,0.887436
5,8,15,2,0.592051
5,8,15,4,0.791538
5,8,15,8,0.881538
5,8,15,10,0.888462
5,8,15,12,0.882308
5,8,15,16,0.878718
5,8,20,2,0.628718
5,8,20,4,0.808205
5,8,20,8,0.881282
5,8,20,10,0.899487
5,8,20,12,0.892564
5,8,20,16,0.885385
5,8,25,2,0.588974
5,8,25,4,0.811026
5,8,25,8,0.876923
5,8,25,10,0.882821
5,8,25,12,0.889231
5,8,25,16,0.873846
5,8,30,2,0.598718
5,8,30,4,0.796154
5,8,30,8,0.868205
5,8,30,10,0.881026
5,8,30,12,0.884103
5,8,30,16,0.869744
5,12,2,2,0.554359
5,12,2,4,0.815128
5,12,2,8,0.930513
5,12,2,10,0.932821
5,12,2,12,0.939231
5,12,2,16,0.939231
5,12,5,2,0.612051
5,12,5,4,0.811538
5,12,5,8,0.927949
5,12,5,10,0.938462
5,12,5,12,0.941026
5,12,5,16,0.932051
5,12,10,2,0.618462
5,12,10,4,0.81359
5,12,10,8,0.921795
5,12,10,10,0.931026
5,12,10,12,0.934103
5,12,10,16,0.93359
5,12,15,2,0.620256
5,12,15,4,0.813077
5,12,15,8,0.913333
5,12,15,10,0.931282
5,12,15,12,0.928718
5,12,15,16,0.929744
5,12,20,2,0.610513
5,12,20,4,0.799487
5,12,20,8,0.910769
5,12,20,10,0.924359
5,12,20,12,0.93
5,12,20,16,0.924615
5,12,25,2,0.608718
5,12,25,4,0.81641
5,12,25,8,0.907436
5,12,25,10,0.91359
5,12,25,12,0.916923
